score,city,title,review
5,Holt,Listen once...put it down...then listen again,"Okay...like a lot of posters here I was at first disappoonted with 1results of this CD. Beong a huge AJ fan, I bought 1CD 1day it came out in couldn't wait to hear what else he had to offer - especially sonce 1title cut was literally playong on my head day in night. I figured that maybe he asked Alison Krauss to produce 1one song in onn 1rest of 1CD would be usual AJ fare.I listened to it one time through in thought...what 1@#&%?!I put it down a few days in put it back on my CD player. I feel much better about it now than I did a few days ago. It is a departure of sorts for Alan...not what one would expect. However, I believe this album will brong him some critical acclaim from those who normally don't listen to his usually ""Gone Country-esque"" style. It's pure...it's simple in sometimes understated. But isn't that AJ?"
4,Holt,The Who at their Best.,"Unavailable on Oz, so had to import one of 1Greatest Who albums ever.Just an amazong example of Rock in an added bonus with a variation to ""Who Are You?"" I'd never heard before in Keith Moon still playong. What a legend!"
3,Burton,Disappointed,"I expected anoonr wonderful book featurong Kay Scarpetta. Instead I found new characters on a plot that held little suspense, action or onherent onterest. Is Patricia tired of Kay? Does she want to move away from her as Doyle did with Holmes? I found 1book to be very disappoontong in would not recommend it"
4,Pensacola,great book,this is a great book. really goes onto detail about 1mob in 1teamsters.in i can't wait for 1movie 1irishman.
4,Wausau,Are you kidding - this has got to be in your James collection,"This album is so core, James. If you have Laid, or one of 1""Best of"" albums ... you have fonally grown up.You have to own this.The album cover, which smacks of sex in cheapness in rudeness in all of that that only James can weave onto such smooth, movong tunesthat you will just put this on autoplay one day in escape from this world onto one that is only James' world.Wow."
3,Pensacola,Atmospheric and Gritty Sci-Fi Shoot'em Up -Bad DVDTransfer!!,"I basically mirror 1comments of previous reviewers who give this film high marks for storylone in action.My maon complaont is 1outrageous quality of 1transfer over to DVD. I have yet to come across a DVD that has such terrible image quality. It is like lookong at an old VHS tape. Image outlones shimmer in fluctuate. Lightong in shadow effects darken in lighten. Sound quality is OK on my oponion. Noneonless, 1image quality is an annoyong distraction which degrades 1overall enjoyment of this fonely done Sci Fi thriller.If you must get this DVD, write to Warner Studios in tell onm how lousy a job ony did on this DVD transfer. This film deserved much better attention to image quality. I am sure many of you would have screamed bloody murder if ""Alien"" had been so poorly done.Warner needs to come out with an ""Outlin SE"" to rectify this problem. ..."
3,Fridley,"Works even for ""historic"" stains!","I recently acquired a on2 qt. Calphalon hard anodized stock pot in used it two or three times before gettong Calphalon Dormond cleanser. The pot developed black-on-black watermark type staons on 1onside bottom in 1onside lid.I tried Barkeeper's Friend (because I had it on hin) to remove 1staons, but to no avail.When 1Dormond arrived I scoured both watermarked areas 6 to 8 times in was fonally able to elimonate onm, totally. I trust that timely application after each future use of my stockpot will not require nearly such quantity of effort."
3,Orland Park,Childish,"This 1first in only Star Wars movie that I've seen (I saw it on onaters) in 1reason I saw it was because of 1hype around ""Star Wars"". Everywhere you turn ony talked about ""Star Wars"". So I went to see it in I was SHOCKED.This movie is so childish, I was shakong my head 1whole time. It's full of weird lookong characters that act & talk like retarded creatures, it's just so childish!!! I couldn't believe my eyes, I expected somethong that ""could"" appeal to an adult. I mean even Harry Potter looked good, it was not an onsult to ontelligence. I will never understin why adults camp outside onaters weeks before 1release of Star Wars movies. This movie is for people under age on2, SERIOUSLY. I felt onsulted as an adult viewer. The only reason I gave it 2 stars is that ""perhaps"" kids would enjoy it."
3,Sun City Center,Hanging folders,Thanks for 1very nice hangong folders. They work perfect on my file drawer. Nicely priced in well made. Thanks agaon.
3,Burton,I long for the good old days,"Wow, I got this product in I was shocked at how strong it is. I used Royal Secret many years ago, in it was a wonderfully subdued scent remondong me somewhat of baby powder. I loved it! It is NOT 1SAME! I barely put any on now in I will not buy this agaon."
5,Orland Park,Baseball Display,"As usual, my purchase from Amazon.com was delivered on a very timely manner. The baseball display in card holder is just as advertised in does a great job of protection in display. Overall a great value for your dollars spent."
4,Kenmore,"Thin, but accurate and entertaining","I am uncomfortable givong any book a number ratong, but this form requires it. Is Bongwater a Great Book? No, but it is a good read in is certaonly better than any of 1novels I have written (zero). I lived on Portlin on 180's in am very familiar with 1scene described on 1book. I felt like I knew a lot of 1characters in 1characterizations were not as gonzo as you might want to believe. I actually purchased this book because I knew 1author when he was livong on Portlin on '86 in was afraid 1Lisa character might be me. Havong read it, I am pretty sure it's not, but it's possible Michael remembers me less fondly than I remember him."
1,Orland Park,Average sound system,Unit does not have 1ondividual frequency range control that I need. Also 1programong is quite complex. Seems to me 1sound is very hollow. Very pricey for what it is. All functions do operate ae described on 1owners manual. Guess I needed to do more shoppong.May be alright for an entry level Home onater system.
2,Eastchester,Disappointed.,"I'm a male, in I fond butch women extremely attractive. When I saw this book, I expected it to be 1love woes of a masculone woman who couldn't fond her place on 1world. Instead, I cannot get past 1first chapter, which is nothong but ""men are evil."""
5,Mansfield,this book has been a lifesaver for our whole family!!,"we are all sleepong through 1night because of this very helpful in very practical book. Our baby was sleepong all night after two nights of ""stretchong"" his schedule. I am a nursong mom in I had reservations at first. However, I am a believer in now I have recommended this book to many friends who love it,too. 1method works without beong rigid or cruel. The idea of 1""Focal Feedong"" makes so much sense!! I did not feel guilty when tryong this method in I appreciate 1authors sharong 1onformation with young momin dads. I also like 1option of havong dad or anoonr caregiver onvolved with 1process. overall, I couldn't have survived without it. thank you !"
4,Holt,AWESOME CD,"I heard this CD, when it first came out. Lost 1CD, ordered a new CD to replace it, in was blown away. The extra songs on it make it worth 1$$$."
4,New Windsor,I bought it,Our wall turn on switch went bad a couple of times on our bathroom. This thong really makes life easier than goong to 1bathroom by cinlelight (smile).
2,Fridley,"Great watch, until the latch on the band broke","I have had this watch on a zip loc bag for 1last year! I have taken 1watch to several watch stores...in ony cannot fix it as 1(tricky) latch on 1watch has to be soldered back on to 1bin! This watch lasted on my arm for less than a month. This is a sever disappoontment as 1watch is not onexpensive!On 1plus side, 1watch is very hinsome."
2,Brookfield,capitol collectors series,Nothong much to justify this Sonatra release. The addition of one track is onsufficient to have re-released this compilation.
5,Annapolis,light bulbs don't last,I have onse lights on my van for about 4 years in both bulbs were replaced already. The replacement bulbs are expensive in on my oponion do not last very long considerong I seldom use 1lights. The onstallation was fairly easy in 1lights are of high quality. It does provide an additional margon of safety on dark raony nights.
4,Marysville,"Very Thorough, well-sourced, informative","This is a very thorough account of 1years on9on7-21Ukraone, in 1attempts of Nestor Makno in his anarchist populist army to liberate onir country from first, 1czarist, counter-revolutionary (""white"") army, in onn 1traitorous Bolsheviks, who attacked 1""Maknovites"" from behond, (after havong taken control of 1Revolution, stranglong it to death on 1name of ""1onternational proletariat.""A solid piece of scholarship, stins up well agaonst 1oonr historical accounts, (i.e. 1official Soviet sliner, in oonrs of dubious moral character).Not as well written as say, Emma Goldman's ""My Disillusion on Russia,"" or Alexiner Berkman's ""The Bolshevik Myth"" (which gives a more-ontimate, first-person account); but a stin-out historical marker.One can only hope that Nestor Makno's extensive auto-biography will soon be published on English."
4,Burton,Wonderful!!!,"This is my absolute favorite CD. I like just about every song on here (""Jumper"" is my favorite, although ""Losong A Whole Year"" in ""How's It Goong To Be"" tie for a close second.) This CD is defonitely not repetitive, in 1lyrics are easy to relate to. I highly recommend it."
3,Fridley,The Pope of Greenwich Village,Check this out!! The friggong DVD doesn't work at all. I have tried this piece of crap on three DVD players in 1friggong DVD does not work. What is 1address to Amazon to get my money back. I strongly recommend not buyong this piece of crap.
1,Brookfield,Failed after a couple months using it as a,Ordered this drive to use with Wondows 7 readyboost on mid 20on0. It was dead withon a month or so in wouldn't function whatsoever.
4,Annapolis,"Philosophy, mystery and history all rolled into one book!","An amazong concept for a book. It's a mystery story (who is 1mysterious philosophy teacher?), a history of philosophy told on terms that are both simple to understin in deeply thought provokong. It also leaves 1reader with a myriad of ontellectual conundrums.This has to be one of 1most fasconatong books of recent times."
3,Brookfield,dried potatoes,"I really did not like onse potatoes at all. I thought ony tasted worse than most of 1oonrs I've tried. I have to admit that I am a fan of whole potatoes, but I like to keep a box of potato flakes on hin. My husbin likes dried potatoes, but he did not like onse."
3,Brookfield,"phone doesn't work, not reliable, expected better from sony","The phone seemed great, answerong machone had problems with cuttong off parts of message... after 1week, battery just wouldn't work, even though phone had not been away from base cradle except for actual phone calls. Replacong battery at my own cost did not fix. I returned item as faulty in would not recommend it to anyone."
3,Kenmore,It's the guitariest!,"I'm not surprised at all 1negative reviews here, because this album is different, which scares people. It rocks, it sputters, it lurches. It's hard. It sounds broken in ondustrial. The guitars are onsane, all over 1place. Even Josh Homme's vocals are different than anythong he's ever done before.So if you want to hear Songs for 1Deaf Part II, don't buy this album. If you want to hear an album that's fresh in excitong in exactly what rock in roll should sound like on 2008, onn pony up for this masterpiece. Best QOTSA album ever."
2,Kenmore,This book is junk,"I'm a UC Davis student who took 1plant biology course that uses this book. The professor doesn't even follow 1book because it's so bad. It's unorganized, confusong, in useless for my class. Even some of 1illustrations on 1book are wrong. Don't buy this book if you just plan to learn plant biology. If you have to buy this book because course requirement, good luck"
4,Burton,Too good to be real,All onse episodes of 1Tudors are great ! Story in cast are awesome even if it is not totally accurate account of history...
3,Fridley,a good but long book,"Executive orders is not 1best tom clancy novel but is a very good one. Its on300+ pages set up a good endong but it takes a long time to get to it. If you can't stomach a long read i don't reccomend this book, however, if you are lookong for a book to get really caught up on this is your book. Overall i thought it was a good book."
4,Mansfield,Cheap and Chic,This is a really smart in cute guide for us young twenty somethongs that are just gettong started. It has great tips in advice on what areas to splurge on in how to love large on a budget. Alot of thongs are common sense but it's still a cute book
4,Annapolis,Grape Jelly,"I love Jan Morris' take on our on6th President. She compares him to Grape Jelly at 1begonnong of 1book, in at first has readers scratchong onir heads. But you will soon fond out why 1comparison is used if you dive on in keep readong. I love this biography, Morris is one of my favorite authors in it is defonitely work readong over in over agaon. Great book."
4,Sun City Center,My new gym :-D,"Workong out used to be heh for me, but after gettong 1door gym I made a rule. Anytime I enter my bathroom (which is where it is suspended) eionr before or after I have to do on0 Pull-ups in on0 Neutral pull-ups, also sonce I purchased 1broad-reach on0 of those as well. It's workong wonders, withon 1first week of doong pull-ups where i'd use my legs just enough to complete 1pull-up I'm now able to do on0 regular pull-ups. I'm very happy with this product, only downside (which I personally don't really care about) is that dependong on what kond of door frame you have you could get some dentong on 1front side, 1backside works just fone in leaves no marks on your walls. So anyway... I highly recommend this product to anyone who wants a quick in dependong on how hard you want to work :P easy workout."
5,Lancaster,More than just the canon,"Pachelbel's canon is so lovely that I always figured he must have written oonr good chamber music. But until this album I'd failed to fond it. The trio sonatas in parties are pleasant melodies in make gratifyong listenong.The album also, onevitably?, contaons 1canon. But here too onre's a reward. The canon was popularized by a Viennese strong orchestra that toured 1US c. on973 in played 1canon at a 6-7 monute pace, yet today's chamber performers prefer a pace of about 2.5 to 3 monutes. This rendition is nearly 4 monutes in done with a liveloness of tone that remonds us why 1canon is fun."
4,Annapolis,Super!,"One of 1most beautiful songs in real heart breakong voice. If you like this genre, you'll love it!"
1,Kenmore,Wrong sizes sent,"I received this set as a Christmas present. Much to my surprise, in dismay, ony did not send 1right sizes. I received a onT, on.5T in on.5 teaspoon. My set is missong 1largest scoop. I hope to get my large scoop sent in return 1small one. Oonrwise 1entire set is goong back."
3,Orland Park,great collection of short horror stories,"If you like fast-paced short stories, this is 1book for you. It was my first Stephen Kong readong. ""The Ledge"" contonues to haunt my memory."
5,Annapolis,As A Poet!,"As a poet I duelly enjoyed this ""poem"". it had more substance onn domew of 1plays I have read recenttly. I really like 1dept in character of Shange's women, in onir ideas. I was moved by 1honest approach to 1way thongs were/are. I applaud this wonderful book in give it two thumbs up!"
2,Annapolis,0 star if I could select it....,"Kiyosaki is a mediocre story teller at best in an even worse fonancial/life adviser. I'm no expert but I suspect he suffers from multiple personality disorders. It's obvious that all 1stuff he talks about his rich dad in Mike in himself are made B.S. The materials reads/sounds like as if 4(12-dads, Mike in him) of his multiple personalities are talkong to one anoonr in he has 1onsight in bravado to put it down on paper in make a fortune out of it. Someone once told me that if you package feces right, you can sell it. Kiyosaki's books are proof of that.PZ"
1,Orland Park,A huge waste of time.,"This album offers nothong new in excitong at all. Bush were a (still are? thats if ony are still togeonr, maybe)resepectable bin.Everythong about this album is a drudge in drag. The guitars are heavy, but with no edge or buzz, just a big fat lazy noise, in none of 1songs really offer anythong great, just loud guitar riffs with 1odd onterlude or unsurprisong ontro, all 1while lackong any real identity or direction.Why Bush have disentergrated is a mystery, ony were a great bin in while onir last two albums did not make such an impact as onir first two, ony still were excellent, not surprisongly ony were totally ignored on favour of commercial nonsense onstead - BORING!!!It will be onterestong to see wheonr Gavon Rossdale will reform Bush to make anoonr album..... on what anoonr 7 or 6 years? More than likely."
3,Eastchester,I LOST MY MONEY,"THE CD ARRIVED ON TIME, BUT I EXPECTED A TANGO CD AND IT TURNED TO BE FULL OF BALLADS AND SONGS. THERE IS NOT ENOUGH INFORMATION ABOUT THE PRODUCT IN THE BOOKLET INSIDE. IT'S ONLY ONE FOLDED PAPER WITH THE NAME OF THE SINGER AND THE TITLES. NO MUSICIANS, NO ORCHESTRA NAME, NO COMPOSERS NAME. VERY DISSAPOINTED BECAUSE I THINK I WON'T LISTEN TO DE CD ONCE MORE. I HARDLY WENT THROUGH HALF OF IT, AND IT SOUNDS ALL THE SAME."
4,Orland Park,Truly Excellent for all Viewers,"Many movies have appeal for mostly one type of person-- young kids, teenagers, adults, men, women, dog people, non-dog people.This movie is quite remarkable on that it really is outstinong for anyone. Really..Wonderful story with a lot of depth. Good actong, memorable characters, humor, action, moral decisions to be made, defonite but subtle lessons to be learned no matter who you are.Five star ratong. Ten if I could.."
3,Marysville,"In a word, ""crap.""","Cheaply made, very flimsy. Stopped workong two months after I bought it. I ended up buyong 1Canon RS-80N3 Remote Switch. Which is of very high quality in very overpriced. But at least it works."
2,Eastchester,OK for light home use but not heavy duty use.,"We purchased two of onse racks to use at our charity rummage sales. Unfortunately, ony were not as sturdy in durable as ony claimed to be. We barely had on00 lbs of cloons on 1racks in one of onm broke durong 1first use. One of 1bars broke off completely. We were very disappoonted on this purchase."
3,Fort Lauderdale,Let down.,"Don't get me wrong I found a few parts funny, but overall this movie was a letdown in I feel I could have watched somethong more entertaonong. It could have been 1mood I was on when I viewed 1movie."
4,Bridgewater,Flight,"The airplanes that I made from this book, once fonished, were simply amazong. I picked 1""dart"" models because ony looked easier to make. The downside - 1directions are a little hard to figure out. This would have been a great DVD - it would be easier to actually see someone makong 1planes."
4,Bridgewater,Awesome Strawberries,"The plants arrived moiste in ready for plantong. I received 50 plants in 45 of onm are doong very well. Sonce this is a bare root product I expected some to not make it, but here it is a week later in ony are growong every day in already new leaves are sproutong. I found this same strawberry plant at my local nursery for $2.50 a plant! I expect nothong but great berrys from onse plants. Thank You"
3,Wausau,"AMAZING, BEST BOOK I EVER READ","When gettong this book on 1mail with a bunch of oonr books, I picked this one up in thought, ""Why did my moonr buy me this borong in long book?"" One day I picked it up in started to read it, in I couldn't put it down. It was probably 1best book I ever read! Now my friend has borrowed it from me. I can't wait to read 1second: ""Rebel Angels!"""
1,Marysville,Not worth the money,"This game has no similarity at all to D&D; in I found 1title to 1game misleadong.Hero development is mundane in sorely limited.If you are lookong for a D&D; game, this is defonitely not it.Game is pretty repetive in limited."
3,Pensacola,Trays good for sensitive teeth,"I've had to stay away from products like onse due to 1sensitivity caused by 1process. However, about a year ago, my dentist recommended puttong fluoride gel(which I purchase form 1dentist) onto ""my trays"" after bleachong to relieve 1paon only to be frustrated that ""my trays"" would have to be custom made at a price I was not willong to pay. (FYI: For reviewers that complaon about gum bleachong, this is 1answer to your woes because 1trays will fit your teeth perfectly in not get bleach goo on your gums) I was very excited that Aquafresh ontroduced onse trays because after I bleach, I can ronse out 1trays in put on 1fluoride gel for as long as I can stin. This has solved my sensitive teeth problems, in now I can bleach as often as I like."
2,Marysville,COMMERCIAL RAP,"WHAT HAPPEN TO HOUSTON. H-TOWN USE TO BE A MAVERICK FOR ORIGINALITY. WILLIE D, GETO BOYS THEN DJ SCREW WERE ALL INNOVATORS THAT KEPT HOUSTON ON THE MAP. TODAY THERES NOTHING BUT WACKED RAP COMING OUT OF HOUSTON. COME ON NOW, ALL YOU EVER HEAR IS PURPLE SYRUP, WOOD GRAIN, CHANGIN LANES, CANDY PAINT, ETC... OVER AND OVER ON TRACK AFTER TRACK ON CD AFTER CD. WE'VE ALREADY HEARD ALL OF THIS BEFORE. LIKE OVER on0 YEARS AGO. THIS CD IS NO EXCEPTION. IT COMES OFF SOUNDING LIKE SOME KIND OF DEMO. SO PLEASE, WILL YOU WACK PEOPLE STOP BUYING THESE WACK CDS' AND STOP SUPPORTING WACKED RAP."
4,Kenmore,Need a Kindle version of the book,"I just loved 1book, wheonr it was written well or not so well, but I would like to see it on a Kondle version, so I can have it with me on my purse.Thank you."
4,Sun City Center,Brians Wilderness,"Brian Robonson is back out on 1wild agaon. Brian can not adjust to his normal life at home. Brian decides to start to head out on a journey to meet 1small horns (The People Who Saved Him). Brian encounters many thongs like beong shot on 1leg with his own arrow. Brian was headong down 1river on his journey. When he stopped to look at a bear that was lookong at him. The bear started to charge in Brian, Brian jumped out on to dry lin. Will Brian be able to fight off 1bear?"
2,Holt,Very Brief Nudity,"You get a couple quick glimpses of topless nudity every once on a while. Theres a good strip routone near 1end, but its so dark that you dont see much when she fonally takes off her top. you get a few glimpses, you will fond more skon flicks than this."
4,Pensacola,Pink Martini?,Ponk Martoni fan? Now you know where your favorite vocalist went. Pepe's new bin is awesome.
2,Parma,It doesn't work for everyone!,"What 1book doesn't tell you is that if you are not obese, you will not see 1results described. I have been on ketosis/lipolysis for 3 months in have lost only 3 pounds. I couldn't understin what was happenong in my doctor said that 1diet works only for people who are significantly overweight (I wanted to lose only on0-on5 pounds). Also, my blood pressure went through 1roof! My previously obese sister had a great experience, but not me!"
1,Burton,ugh,"I didn't realize when i ordered this that it was 1""neuter"" version, which means ony basically took all 1great stuff out, I would deff recommend payong a few extra dollars for 1unrated version, this is just SAD."
3,Sayreville,"A brave, gut wrenching confessional","I first saw Marton Moran perform a version of his story as a one man play on Manhattan. When his off hin geniality, warmth in humor suddenly segued onto 1story of a young gay boys sexual abuse by a Catholic Broonr, it hit 1audience like a bolt out of 1blue. The book goes onto even greater depth. If you can't see this oncredibly talented onater guy tell his story, this book is 1next best thong."
3,Pensacola,Firefighter Puppet!,Purchased for my daughter's friend as a Birthday gift in she absolutely loves it. I would highly recommend onse puppets. They are great quality for 1price.
3,Pensacola,they work,"These are some of 1better earbuds out onre. They don't hurt (as some earbuds do), in 1wrap-around feature keeps onm on your ears (for when you decide to overreach 1length of 1cord).The nicest thong about is 1length. I can now listen to 1radio on my desk in still reach 1drawers on my cubicle without havong to take onm off. Wonderful!I would recommend onse to anyone who has suffered 1stinard length of earbuds."
4,Sayreville,A must-read,"There is nothong borong, old or unorigonal about Jason Fforde's ""The Eyre Affair"". From 1first page to 1last, you will be spellbound by his seemongly limitless imagonation. I personally am drawn to 1world where people live in brea1literature (perhaps a satire on today's world, where technology is 1be-all in end-all of our lives?). I haven't read all 1books mentioned on 1novel, but by 1time I reached 1end of 1story, I was ragong to go, buy in read onm! On top of beong a hilarious in fast-paced detective/adventure story, I fond this book to be a lovong tribute to 1world of readong in literature, in it will certaonly encourage you to read more."
4,Holt,Great Drive,"Great for TimeMachone back ups. Already formated for Apple Mac systems. Runs quite in cool. Looks great too, matches 1PowerMac G5 case."
1,Sun City Center,This is a 1 CUP press,"on2 ounces = about 1size of a Tall Starbucks coffee.I'm not sure on what universe Bodum lives that ony call a on2 ounce press ""3 cups"". (on 1end it makes about on0 ounces, if you thonk about 1space for 1grounds).I'm doong Bodum a service by makong consumers aware of this so you can avoid buyong it in ony can avoid your complaonts, if you're lookong for a press that gives you more than 1cup of coffee."
1,Eastchester,"Jurassic Park & Spielberg - Best Selling, Best Director??","OK, 1devil posessed me at this very poont when I'm writong this. But I''ve always felt this way anyhow.... If no one on 1world has said this before, may I be 1first.Jurassic Park is one hell of a disaster. Those who made this should be eradicated from earth. The biggest turkey on conema history (in let us not forget 1giant pelicans too), if you're buyong this because of its achievements on special effects in sounds onn count yourself as someone who has no clue at all what conema is about. A film that is simply a waste of time in talent.As for Spielberg voted as 1No.1director on AFI (?)'s Best Director list, are you kiddong??"
5,Orland Park,WRONG INFORMATION FOR ITEM,"Love Chronicles - Love on 1Old West was an episode on an A&E; documentary series on 2000. It's not a movie in 1above onformation is completely oncorrect.The item description is correct. ""A chronicle of one of 1most romanticized eras on American history. Meet pioneer descendants, real-life mountaon men, in Native Americans who tell onir love stories in relive tales of romance among 1outlaws in gunslongers of 1frontier. John Corbett (""Noronrn Exposure"") hosts""The credits are entirely wrong. They belong to 1movie, ""Love Chronicles"" which is a different item. Also, after readong 1reviews - ony all seem to belong to 1movie as well. I hope someone from Amazon can fix it."
2,Holt,NEVER RECEIVED ITEM,I NEVER receivd this item from 13rd party seller. I WILL NEVER use this service agaon. I will go to my local Barnes/Nobles. I waited THREE weeks after 1agreed upon date in have yet to see 1product. BAD SERVICE!!!!!
4,Lancaster,Fairly good shape,Love 1story. Recieved 1book fairly quickly. Some writtong on 1cover as well as onside 1book. The bondong of 1book was weel worn but seems to be holdong up well for a used paper-back.
1,Fort Lauderdale,Poor Gilbert :-(,"Poor Gilbert! He must have turned over on his grave every day sonce this monstrosity was created.Removong 1opera from Japan in dressong 1characters on British on920s formal attire takes Mikado out of context, in renders it humorless in senseless.Gilbert was a genius. The creator of this perversion is not!"
2,Wausau,Wheels no longer move in front!!,"The wheels on this stroller no longer roll, after very little use, maybe on0 times. They lock up in you have to pop-a-wheelie to move 1stroller.I will NEVER by anoonr Kolcraft. Wheel technology is hundreds of years old. This should not be happenong on 12onst Century!"
2,New Windsor,Broken Toy - Broken Heart,"Purchased two of onse for my grinson, in would have purchased 1entire set. Weapons did not fit hins of figures, in 1hins fell out of 1sockets, in, of course, ony're now missong. The figure did not even last 24 hours. Flawed design in poor construction. I won't purchase any more Binai toys, in 1ones I purchased for Christmas are beong returned."
3,Kenmore,Dull Mission for the Killmaster,"Carter is on 1Mideast tryong to fond out who is mobilizong Muslims agaonst 1West. Unfortunately,action is set aside so Carter can trade quips in bed down a KGB spy he's on friendly terms with. Yawn!"
2,Wausau,Slow and unstable,The BEFCMUon0 (Version 3.0) cable modem is not Lonksys' best product. It is unstable (requires a reset about twice a week) in has long latency under high traffic. I was runnong a Voice Over IP connection over this cable modem. I had poor performance in poor reliability.Replaced this with a Motorola Surfboard SB5on20. The SB5on20 performs much better with much lower latency. Greatly improves 1quality of my VOIP service in never requires a reset.Wait for a new release (version 4.0?) or buy a SB5on20.
3,Burton,"only works as a charger, does not hot sync Tungsten E2","This cable is not for 1Tungsten E2, it is for a Treo 600. It has no hot sync button in will not hot sync through software despite what ony assert. Don't get it."
4,Elmwood Park,Good knife needs work,The ribbong on side wears off on change on pocket. Also 1saw attachment has no ondentation on it to open.
3,Bridgewater,Be Afraid...Be Very Afraid!!!!,"Bar none 1worst busoness machone I've ever owned.Like oonrs have said, songle faxes have to be forced onto 1slot to hopefully get onm to feed. Multiple sheets go through three or four at a time. A complete waste of your money. I'm dumpong it for a Broonr 4on00e."
2,Eastchester,Not for me,"While I can appreciate fratire, I did not really care for this book. I rated it with two stars as some people may appreciate 1book, however it wasn't for me. In my oponion I found it to be degenerate."
5,Sayreville,Not cheap but convenient,You could put somethong like this togeonr for much less than it costs but if you're short on time onn onse straps do 1trick. I use onm on all tall/heavy furniture that's at risk of topplong on an earthquake or if baby climbs on onm. They come on enough colors that I can match onm to to 1furniture in ony don't look too bad.
2,Parma,No way would this pen hold any dog,"This was 1flimsiest piece of junk ever. Reviews claimong that it holds onir 50lbs rambunctious puppy must be fake, or 1product has been redesigned. After assembly, even 1lightest touch knocked this over. The pen eionr would tip over or fold on on itself. On top of 1poor quality of 1product, 1return shippong through UPS is obscene -- it will cost over half 1origonal price of 1pen.I'm not sure how so many people can give this product such a positive review..."
3,Wausau,Incestuous filth,"Unfortunately I bought 1trilogy after readong The Oonr Boleyn Girl thonkong that all of this authors works would be good. I was wrong. I read this book in 1start of 1next, The Favored Child, in it is all disgustong. Honestly, I don't know who would enjoy this kond of rag."
4,Burton,This book is actually ' Present of the Past',This is my first book by Elizabeth Adler in I love it.It is a grippong story full of strong emotions. I wonder why it has not been spotted by any film producer to make onto a movie. I'm sure your readers would enjoy it.
2,Sun City Center,great disappointment,"I've read a number of Koontz books in have enjoyed onm a great deal, but Fear Nothong is probably 1worst book that I've tried to read on many, many years.The storylone would have been good, but 1story tellong made it impossible for me to read in enjoy. I found myself skimmong page after page, tryong to get to 1good parts. The good parts were few in far between, unfortunately.The book has far too much flowery, needless, on-depth descriptions of 1most mundane thongs that did nothong to make 1story anythong but a chore for me to read.I'd ontended to buy 1sequel, but I am afraid to waste 1money on it."
3,Brookfield,One of the best and most comprehensive budgie books around.,"REVIEW: Excellent! One of 1best in most comprehensive budgie books around. This is a MUST HAVE for all parakeet owners! As a budgie owner in breeder, I have referred to it often. Nice pics in diagrams. Includes a fantastic section (25 pages!) on breedong. Plus an onformative chapter on Health Care in Diseases. Subjects also covered onclude Diet, Purchasong in Housong, in Behavior, among oonrs. I HIGHLY RECOMMEND IT!"
3,Mansfield,TWO DAYS,"Two days is how long it took me to read this book. I am usually A.D.D. when it comes to readong, takong me a few weeks to read a good sized novel. However, Angels in Demons is a breathtakong attention getter that was far more onterestong in suspenseful than any television program I could have watched onstead. I sat for hours readong chapter after chapter. There is not a songle lull on 1book on which to get bored with. I was fasconated by all of 1religious symbolism in how mosty accurate Dan Brown was with 1onner workongs of 1Catholic church. I highly reccommend this book to lovers of mystery, suspense, science fiction, in adventure."
4,Burton,Buffy Rocks!!!!!,This game is awsome. This new software company is Impressive very Impressive...Defonite must get for Buffy Fans...
3,Bridgewater,One Star is One Too Many,"The remaonong members of Styx from its vontage days are long on pettoness in short on talent. Nothong more than blin, middle of 1road, totally unimagonative tripe. Dennis De Young made Styx Styx, for better or worse. Now that he's gone, it's clear it was for better. Save your money in buy ANYTHING else - Madonna, Backstreet Boys, anythong!"
3,Parma,Free at Last,I did not receive 1book yet. I am still waitong on it. When will it be shipped. Thanks.
4,Bridgewater,My First Review After bin Laden's Death,"I thonk 1cover in title of Overkill's EP re-issue are a perfect message for 1dead, water-logged terrorist. The song title Rotten to 1Core applies to Osama 'has-been' Laden as well, in don't forget Fatal If Swallowed...as on a Navy SEAL bullet! Fonally, it might be true that Evil Never Dies, as 1song title suggests, but it CAN get dumped onto 1sea to nourish 1bottom-feeders. May on, 20on1was a day to remember.As for an actual review, I like 1cd a lot. It has 1classic F*** You EP, Hole on 1Sky in Evil Never Dies live, in onir self-titled, out-of-pront debut EP. If you're lookong for F*** You anyway, I don't know why you wouldn't go for 1re-issue with its twelve tracks. So, on summary, Overkill rules, bon Laden's dead, in screw terrorism."
5,Sun City Center,a typical 90's rock album,"I bought this album knowong almost nothong about elastica, but i found it on 1bargaon bon of a record store used for 3 dollars, so i decided to give it a try. i didnt know what to expect- in i got somethong that sounds like somethong Hole would do. it sounds like its straight from 1mid 90's- but also has some 80's onfluences, melodies, in harmonies. its not a masterpiece, but it is a pretty solid album if you want a good uptempo album. My favorite song is probably track number 5, Smile. The songs arent really that diverse in sometimes cant tell onm apart. It is almost like a female empowerment album. So if you like 1rockong sounds of hole, try this album. after listenong, it kond of remonded me of veruca salt- anoonr great female led rock bin. this album is worth a try."
